"Stationame","Country","Station","First_Year","Last_Year","Years","Months","Full_Lenght","Missing_M"
"alpene, geneve_ecad","alpene","geneve_ecad",1901,2009,109,1303,1314,11
"alpene, graz","alpene","graz",1894,2009,116,1387,1398,11
"alpene, hohenpeissenberg","alpene","hohenpeissenberg",1781,2009,229,2741,2754,13
"alpene, innsbruck","alpene","innsbruck",1877,2009,133,1490,1597,107
"alpene, klagenfurt","alpene","klagenfurt",1881,2009,129,1513,1554,41
"alpene, kremsmunster","alpene","kremsmunster",1876,2009,134,1602,1614,12
"alpene, lugano_ecad","alpene","lugano_ecad",1901,2009,109,1303,1314,11
"alpene, munchen","alpene","munchen",1781,2009,229,2742,2754,12
"alpene, saentis_ecad","alpene","saentis_ecad",1901,2009,109,1296,1314,18
"alpene, saentis","alpene","saentis",1883,2009,127,1516,1530,14
"alpene, sonnblick","alpene","sonnblick",1887,2009,123,1468,1482,14
"alpene, wien","alpene","wien",1855,2009,155,1827,1865,38
"argentina, buenos_aires","argentina","buenos_aires",1856,2006,151,1781,1817,36
"argentina, trelew","argentina","trelew",1901,2010,110,1268,1320,52
"arktis, angmassalik","arktis","angmassalik",1895,2009,115,1349,1380,31
"arktis, barrow","arktis","barrow",1901,2009,109,1131,1306,175
"arktis, illulisat","arktis","illulisat",1873,2009,137,1634,1650,16
"arktis, kotzebue","arktis","kotzebue",1897,2009,113,1005,1353,348
"arktis, nook_nasa","arktis","nook_nasa",1881,2009,129,1490,1548,58
"arktis, tasiilaq","arktis","tasiilaq",1895,2009,115,1361,1386,25
"arktis, upernavik","arktis","upernavik",1873,2009,137,1638,1650,12
"aserbajdsjan, lenkoran","aserbajdsjan","lenkoran",1882,1990,109,1241,1311,70
"atlanterhavet, base_orcadas","atlanterhavet","base_orcadas",1903,2009,107,1271,1288,17
"atlanterhavet, nassau","atlanterhavet","nassau",1881,2009,129,1439,1555,116
"atlanterhavet, sable_island","atlanterhavet","sable_island",1897,2009,113,1329,1354,25
"atlanterhavet, st_helena","atlanterhavet","st_helena",1892,2009,118,1331,1422,91
"atlanterhavet, st_johns","atlanterhavet","st_johns",1897,2009,113,1268,1352,84
